Title,Description,Price (INR),Image URL,Product Link,Category
"PHILIPS HL1681 Hand Blender |Powerful 300W Motor with Rust free steel arm |Easy single trigger operation |Specially designed blades |Ergonomically designed |Wall bracket for storage, 2year warranty","PHILIPS HL1681 Hand Blender |Powerful 300W Motor with Rust free steel arm |Easy single trigger operation |Specially designed blades |Ergonomically designed |Wall bracket for storage, 2year warranty",1399.0,https://m.media-amazon.com/images/I/41azanveISL._AC_UY218_.jpg,https://www.amazon.in/HL1681-Powerful-operation-Specially-Ergonomically/dp/B0DZ6PP8ZB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-1,Appliances
"Milton Rapid Electric Kettle 1.8L | 1500 Watts | Stainless Steel Hot Water portable Electric Kettle for Home, Office | Auto Shut-Off with Wide Mouth | Cool-touch Handle and Single-Touch Lid Lock","Milton Rapid Electric Kettle 1.8L | 1500 Watts | Stainless Steel Hot Water portable Electric Kettle for Home, Office | Auto Shut-Off with Wide Mouth | Cool-touch Handle and Single-Touch Lid Lock",649.0,https://m.media-amazon.com/images/I/61G2USexrDL._AC_UY218_.jpg,https://www.amazon.in/Electric-Stainless-portable-Cool-touch-Single-Touch/dp/B0F54GKQ38/ref=sr_1_2?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-2,Appliances
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)","Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",439.0,https://m.media-amazon.com/images/I/51DGcy8eBCL._AC_UY218_.jpg,https://www.amazon.in/Pigeon-Electric-Stainless-Shut-off-Feature/dp/B07WMS7TWB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-3,Appliances
"Prestige PGMFB 800 Watt Grill Sandwich Toaster with Fixed Grill Plates, Black","Prestige PGMFB 800 Watt Grill Sandwich Toaster with Fixed Grill Plates, Black",966.0,https://m.media-amazon.com/images/I/61wURjcgIEL._AC_UY218_.jpg,https://www.amazon.in/Prestige-PGMFB-Sandwich-Toaster-Plates/dp/B00935MGKK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-4,Appliances
"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty","NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty",1398.0,https://m.media-amazon.com/images/I/71rH4vEE4nL._AC_UY218_.jpg,https://www.amazon.in/NutriPro-Bullet-Juicer-Grinder-Blades/dp/B09J2T124D/ref=sr_1_5?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-5,Appliances
Pigeon 2 Slice Auto Pop up Toaster. A Smart Bread Toaster for Your Home (750 Watt) (Black),Pigeon 2 Slice Auto Pop up Toaster. A Smart Bread Toaster for Your Home (750 Watt) (Black),899.0,https://m.media-amazon.com/images/I/51x15vgzI2L._AC_UY218_.jpg,https://www.amazon.in/Pigeon-2-Slice-Pop-up-Toaster-Black/dp/B06XPYRWV5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-6,Appliances
amazon basics Electric Egg Boiler | 3 Boiling Modes | Automatic Operation | Overheat Protection | 75ml | Plastic | White,amazon basics Electric Egg Boiler | 3 Boiling Modes | Automatic Operation | Overheat Protection | 75ml | Plastic | White,379.0,https://m.media-amazon.com/images/I/71tIWqrBr6L._AC_UY218_.jpg,https://www.amazon.in/Electric-Automatic-Operation-Overheat-Protection/dp/B0BT1M24FN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-7,Appliances
"AGARO Elite Rechargeable Mini Electric Chopper, Food Grade Bowl, Stainless Steel Blades, One Touch Operation, for Mincing Garlic, Ginger, Onion, Vegetable, Meat, Nuts, 250 Ml, Black.","AGARO Elite Rechargeable Mini Electric Chopper, Food Grade Bowl, Stainless Steel Blades, One Touch Operation, for Mincing Garlic, Ginger, Onion, Vegetable, Meat, Nuts, 250 Ml, Black.",559.0,https://m.media-amazon.com/images/I/71JxqRoEC9L._AC_UY218_.jpg,https://www.amazon.in/AGARO-Rechargeable-Stainless-Operation-Vegetable/dp/B0C897PVVM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-8,Appliances
HD9137/90 Philips Egg boiler 400W,HD9137/90 Philips Egg boiler 400W,1530.0,https://m.media-amazon.com/images/I/515W5Dvu2ZL._AC_UY218_.jpg,https://www.amazon.in/HD9137-90-Philips-boiler-400W/dp/B0DB2GVGTV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-9,Appliances
"Pigeon Brewster Coffee Maker, 600 Watt, 4 Cups Drip Coffee maker (Black)","Pigeon Brewster Coffee Maker, 600 Watt, 4 Cups Drip Coffee maker (Black)",949.0,https://m.media-amazon.com/images/I/51q9WR-LfHL._AC_UY218_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Coffee-Maker-Brewster/dp/B07WJ4NG21/ref=sr_1_10?dib=eyJ2IjoiMSJ9.g-JJrmWEPJSaJwi4m1AfxECEXmyX_Jg4QYh-xd_xhLHPvRsT2Y513odCoIPIVoNbZHtZyfGbDCeswIV1_NYJMEvXqHWWpTUzz5M6OeWnvYbg9saD80Xac2gmhZhLk-7mO0RFbq0cl0hPG0wgaKeHnj8N0BRyawt4HwDcsNlTkGxCmTSFwWKxC8-cjYzWTc7ojyzwg7sz3twqd7PVM9SE6fmG0hqC-WO7VmFHZGOrI_M.0wvMYNON2fa4n0f7KcRnhrpK-6_7FVbGLJOpGhCiRGk&dib_tag=se&keywords=Appliances&qid=1761141675&sr=8-10,Appliances
