Title,Description,Price (INR),Image URL,Product Link,Category
"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre","Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",779.0,https://m.media-amazon.com/images/I/71maWXZscfL._AC_UY218_.jpg,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JJ2CK6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-1,Bags_&_luggage
"Boldfit Shoe Bag for Travel Bag for Man & Women Shoe Cover for Storage at Home Gym Reusable Travelling Accessories Organizer Pouch Travel Essentials Footwear Bags for Travelling Men -Pack of 6, Black","Boldfit Shoe Bag for Travel Bag for Man & Women Shoe Cover for Storage at Home Gym Reusable Travelling Accessories Organizer Pouch Travel Essentials Footwear Bags for Travelling Men -Pack of 6, Black",199.0,https://m.media-amazon.com/images/I/71UlEDZPiCL._AC_UY218_.jpg,https://www.amazon.in/Boldfit-Organizer-Accessories-Travelling-Essentials/dp/B0BK1457X3/ref=sr_1_2?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-2,Bags_&_luggage
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls","FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699.0,https://m.media-amazon.com/images/I/61egMfcDWlL._AC_UY218_.jpg,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-3,Bags_&_luggage
"Aristocrat Nova 15L Laptop Backpack for Men & Women with Bottle Pocket | Padded Shoulder Straps, Multi Compartments | Travel & College Bag | Dark Black","Aristocrat Nova 15L Laptop Backpack for Men & Women with Bottle Pocket | Padded Shoulder Straps, Multi Compartments | Travel & College Bag | Dark Black",329.0,https://m.media-amazon.com/images/I/71aYGrOy6gL._AC_UY218_.jpg,https://www.amazon.in/Aristocrat-25L-Nova-Laptop-Backpack/dp/B0D8BG7S4P/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-4,Bags_&_luggage
M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),599.0,https://m.media-amazon.com/images/I/71tzEgzCFcL._AC_UY218_.jpg,https://www.amazon.in/MEDLER-Nylon-Expandable-Duffel-Trolley/dp/B07MWD4D4W/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-5,Bags_&_luggage
ADISA Laptop Backpack 31 Ltrs,ADISA Laptop Backpack 31 Ltrs,399.0,https://m.media-amazon.com/images/I/6175Nru3TXL._AC_UY218_.jpg,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-6,Bags_&_luggage
KUKLAR Wash Bag Pouch for Travel Kit Toiletry Bag Cosmetic Bag Make Up Box for Brushes Accessories with Handle Large Capacity Translucent Waterproof Travel Storage Organizer Set of 3 (Sky Blue),KUKLAR Wash Bag Pouch for Travel Kit Toiletry Bag Cosmetic Bag Make Up Box for Brushes Accessories with Handle Large Capacity Translucent Waterproof Travel Storage Organizer Set of 3 (Sky Blue),199.0,https://m.media-amazon.com/images/I/61-UcV4QN7L._AC_UY218_.jpg,https://www.amazon.in/KUKLAR-Accessories-Translucent-Waterproof-Organizer/dp/B0DCZKTC9F/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-7,Bags_&_luggage
"Safari Genius Alley 55cm Cabin Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest","Safari Genius Alley 55cm Cabin Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",1699.0,https://m.media-amazon.com/images/I/61eYZthnqKL._AC_UY218_.jpg,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYJQLQQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-8,Bags_&_luggage
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel for Men and Women,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel for Men and Women,899.0,https://m.media-amazon.com/images/I/71-8gqDAalL._AC_UY218_.jpg,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-9,Bags_&_luggage
IRMAO 2021 New Flower Embroidered Artistic National Style Oxford Small Capacity Women's Bag Generation Backpack,IRMAO 2021 New Flower Embroidered Artistic National Style Oxford Small Capacity Women's Bag Generation Backpack,549.0,https://m.media-amazon.com/images/I/61hre5NAPiL._AC_UY218_.jpg,https://www.amazon.in/IRMAO-Embroidered-Artistic-National-Generation/dp/B09NNG1P81/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3HRz6olU0Jak_dv8cxSYFQpGq4hYdai0e-YxaDpFA6tLDp6VBNsIPqN_B0eD4TnvX13VUOKEg3FsujrJqg5CCxP_cSw7kasm_ingqFqX4DAq5kzYur_Pr8YrHOWaKUsIFMbhWbTMdpGHTV5HszBcfeI-J3TZYf2okFG6VgVuZPTrhB8tYmZtt3GgVTztB4J0cR7bnN-8zQQNpV2VqIURBhMXJtjvvhntL1Jz8IuB3Ds.-IswK8ZbBSGJPEFpmioVLPxUDhsbVC0IRHrcAZPfr3g&dib_tag=se&keywords=Bags&qid=1761142486&sr=8-10,Bags_&_luggage
