Title,Description,Price (INR),Image URL,Product Link,Category
[Get Gift] Beauty of Joseon Relief sun Aqua-fresh spf 50 50ml + Relief sun spf 50 10ml,[Get Gift] Beauty of Joseon Relief sun Aqua-fresh spf 50 50ml + Relief sun spf 50 10ml,1350.0,https://m.media-amazon.com/images/I/518ZII9nOxL._AC_UL320_.jpg,https://www.amazon.in/Beauty-Joseon-Aqua-fresh-Sunscreen-Lightweight/dp/B0DFMGBZ9Z/ref=sr_1_1?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-1,Beauty_&_personal_care
NIVEA Pearl and Beauty 50ml Deo Underarm Roll On | With Pearl Extracts & Avocado Oil | 72 H Long Lasting Floral Scent | 0% Alcohol and Dermat Approved | For Women,NIVEA Pearl and Beauty 50ml Deo Underarm Roll On | With Pearl Extracts & Avocado Oil | 72 H Long Lasting Floral Scent | 0% Alcohol and Dermat Approved | For Women,149.0,https://m.media-amazon.com/images/I/41D6xYA74xL._AC_UL320_.jpg,https://www.amazon.in/Extracts-Avocado-Beautiful-Underarms-Alcohol/dp/B006LXDVTM/ref=sr_1_2_mod_primary_new?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-2,Beauty_&_personal_care
Beauty of Joseon Relief Sun Rice + Probiotics 50 ml SPF 50+ PA++++ Lightweight Korean Sunscreen for Oily Skin,Beauty of Joseon Relief Sun Rice + Probiotics 50 ml SPF 50+ PA++++ Lightweight Korean Sunscreen for Oily Skin,1350.0,https://m.media-amazon.com/images/I/61DA-VH24GL._AC_UL320_.jpg,https://www.amazon.in/Beauty-Joseon-Relief-Cream-50ml/dp/B09JVNZVH3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-3,Beauty_&_personal_care
"Maybelline New York Intense Colour Colossal Kajal, Black, Matte Finish, Stay Up To 24 Hours, Water-proof, Smudge Resistant, Infused With Aloe Vera & Vitamin C and Vitamin E | 0.35g","Maybelline New York Intense Colour Colossal Kajal, Black, Matte Finish, Stay Up To 24 Hours, Water-proof, Smudge Resistant, Infused With Aloe Vera & Vitamin C and Vitamin E | 0.35g",109.0,https://m.media-amazon.com/images/I/61b2tDBxhlL._AC_UL320_.jpg,https://www.amazon.in/Maybelline-Colossal-Kajal-Black-0-35g/dp/B06WGZP21B/ref=sr_1_4?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-4,Beauty_&_personal_care
"BLABLIBLU Love Drunk Unisex Perfume for Men & Women|100ml Long-Lasting Parfum Fragrances - A Notch above EDP, EDT & EDC|Perfume For Man & Perfume for Woman |Cinnamon, Dates & Nuts Notes|","BLABLIBLU Love Drunk Unisex Perfume for Men & Women|100ml Long-Lasting Parfum Fragrances - A Notch above EDP, EDT & EDC|Perfume For Man & Perfume for Woman |Cinnamon, Dates & Nuts Notes|",694.0,https://m.media-amazon.com/images/I/618uq3XuswL._AC_UL320_.jpg,https://www.amazon.in/BLABLIBLU-Unisex-Perfume-Long-Lasting-Fragrances/dp/B0FLWST1D4/ref=sr_1_5?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-5,Beauty_&_personal_care
"FACESCANADA Strobe Cream - Rose Gold, 30Ml | Primer + Highlighter + Moisturizer | Shea Butter & Hyaluronic Acid | Intense Hydration | Flawless Radiant Dewy Skin | Illuminating & Glowing Makeup Base","FACESCANADA Strobe Cream - Rose Gold, 30Ml | Primer + Highlighter + Moisturizer | Shea Butter & Hyaluronic Acid | Intense Hydration | Flawless Radiant Dewy Skin | Illuminating & Glowing Makeup Base",439.0,https://m.media-amazon.com/images/I/515W5cQZxDL._AC_UL320_.jpg,https://www.amazon.in/FACES-CANADA-Strobe-Cream-Illumination/dp/B0BR585QS2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-6,Beauty_&_personal_care
"Maybelline New York Fit Me Compact Powder, Matte + Poreless Compact Powder, upto 16 hours of Oil Control with SPF 32 PA+++ and UV filters & ideal for normal to oily skin - 128 Warm Nude|6g","Maybelline New York Fit Me Compact Powder, Matte + Poreless Compact Powder, upto 16 hours of Oil Control with SPF 32 PA+++ and UV filters & ideal for normal to oily skin - 128 Warm Nude|6g",143.0,https://m.media-amazon.com/images/I/61FDV10Re5L._AC_UL320_.jpg,https://www.amazon.in/Maybelline-York-12Hr-Control-Compact/dp/B08QSWPZS5/ref=sr_1_7?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-7,Beauty_&_personal_care
"Swiss Beauty Kiss Kandy Lip Balm with Olive Oil | Moisturising | Non-Sticky | Soft & Smooth Lips | Shade - Pomegranate, 10ml","Swiss Beauty Kiss Kandy Lip Balm with Olive Oil | Moisturising | Non-Sticky | Soft & Smooth Lips | Shade - Pomegranate, 10ml",109.0,https://m.media-amazon.com/images/I/51OIVQrvBYL._AC_UL320_.jpg,https://www.amazon.in/Swiss-Beauty-Moisturising-Non-Sticky-Smooth/dp/B0BSQWZ66K/ref=sr_1_8?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-8,Beauty_&_personal_care
"Swiss Beauty Hydra Anti Wrinkle Eye Serum Patch| Treats Dark Circles, Fine Lines And Wrinkles | Enriched With Collagen And Aloe Vera Extract | Shade -Gold, 60 Pcs","Swiss Beauty Hydra Anti Wrinkle Eye Serum Patch| Treats Dark Circles, Fine Lines And Wrinkles | Enriched With Collagen And Aloe Vera Extract | Shade -Gold, 60 Pcs",296.0,https://m.media-amazon.com/images/I/71YrPFQSkcL._AC_UL320_.jpg,https://www.amazon.in/Wrinkle-Circles-Wrinkles-Enriched-Collagen/dp/B09JSD3591/ref=sr_1_9?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-9,Beauty_&_personal_care
"BLABLIBLU Perfume Gift set Mini Travel Trial Pack for Man|6x7ml|Long-Lasting Parfum Fragrances - better than EDP, EDT & EDC |Perfume For Man| Woody, Musky & Spicy Notes","BLABLIBLU Perfume Gift set Mini Travel Trial Pack for Man|6x7ml|Long-Lasting Parfum Fragrances - better than EDP, EDT & EDC |Perfume For Man| Woody, Musky & Spicy Notes",395.0,https://m.media-amazon.com/images/I/51mqBJbLpsL._AC_UL320_.jpg,https://www.amazon.in/BLABLIBLU-Perfume-Travel-Long-Lasting-Fragrances/dp/B0FHWY6QGZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.dMOk9PD5PatBtK9MQtl_zpqu4dQH5G43nc6_sg6VxThFq8jJFKhgXWNKS0ouGldSJcgDoSaOVRcUFTcBnbuZpoP7WHCG-RS1IE3fIJLahWTfvjwcrKifIubmpUMd7UGisekz4EuaqDjv4y_gV1GEi8w_F4erR5otqtUTzYMVixfjBGPWffBx2-NwYy6Tua5xPG0sE_h1XmO8hXCrTfgqdSWjdyx84lYHP5IR5wavr2s4P3tqM8pe5JSSz2Zv9qUVAr7p8P-D3if67mDsZQuH2eYit3tVGz6v0QDSy1iA28o.3yRams6zHWcLmcy147A4ZJ6Elgt4CJ_au4eYPcHIRVw&dib_tag=se&keywords=Beauty&qid=1761142595&sr=8-10,Beauty_&_personal_care
