Title,Description,Price (INR),Image URL,Product Link,Category
Don't Believe Everything You Think (English),Don't Believe Everything You Think (English),184.0,https://m.media-amazon.com/images/I/715qi-cIbML._AC_UY218_.jpg,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=sr_1_1?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-1,Books
Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,173.0,https://m.media-amazon.com/images/I/71Q2fXtMhaL._AC_UY218_.jpg,https://www.amazon.in/Dopamine-Detox-Remove-Distractions-Things/dp/8183286011/ref=sr_1_2?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-2,Books
Attitude is Everything change your attitude change your life!,Attitude is Everything change your attitude change your life!,171.0,https://m.media-amazon.com/images/I/61go3pwTLYL._AC_UY218_.jpg,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-3,Books
"Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life","Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life",374.0,https://m.media-amazon.com/images/I/81l3rZK4lnL._AC_UY218_.jpg,https://www.amazon.in/Ikigai-Japanese-Self-Help-Phenomenon-Meaningful/dp/178633089X/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-4,Books
"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home (English)","The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home (English)",185.0,https://m.media-amazon.com/images/I/61Ktyy7KymL._AC_UY218_.jpg,https://www.amazon.in/Art-Being-Alone-Loneliness-Solitude/dp/9355434022/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-5,Books
Days at the Morisaki Bookshop: The perfect book to curl up with - for lovers of Japanese translated fiction everywhere,Days at the Morisaki Bookshop: The perfect book to curl up with - for lovers of Japanese translated fiction everywhere,258.0,https://m.media-amazon.com/images/I/71xxddxprOL._AC_UY218_.jpg,https://www.amazon.in/Days-Morisaki-Bookshop-International-Bestseller/dp/1786583232/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-6,Books
White Nights Fyodor Dostoevsky [Premium Paperback] | A Tale of Love & Loneliness | 50 Greatest Short Stories | Short Stories of Dostoevsky | Classics Books | Literature Books | White Nights Book,White Nights Fyodor Dostoevsky [Premium Paperback] | A Tale of Love & Loneliness | 50 Greatest Short Stories | Short Stories of Dostoevsky | Classics Books | Literature Books | White Nights Book,179.0,https://m.media-amazon.com/images/I/610IfoLPhvL._AC_UY218_.jpg,https://www.amazon.in/Dostoevsky-Paperback-Loneliness-Greatest-Literature/dp/9362639505/ref=sr_1_7?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-7,Books
"Do It Today: Overcome Procrastination, Improve Productivity and Achieve More Meaningful Things | A Life-Changing Guide to Doing What Matters Now","Do It Today: Overcome Procrastination, Improve Productivity and Achieve More Meaningful Things | A Life-Changing Guide to Doing What Matters Now",197.0,https://m.media-amazon.com/images/I/61jCkOVf1oL._AC_UY218_.jpg,https://www.amazon.in/Overcome-Procrastination-Improve-Productivity-Meaningful/dp/0143452126/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-8,Books
Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],196.0,https://m.media-amazon.com/images/I/71+oHMoJ8cL._AC_UY218_.jpg,https://www.amazon.in/Deewar-%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%83%E0%A4%A4-%E0%A4%89%E0%A4%AA%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8/dp/939282078X/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-9,Books
Thank You for Leaving: Learning to be okay with saying goodbye | A new book by one of India’s highest selling authors - Rithvik Singh,Thank You for Leaving: Learning to be okay with saying goodbye | A new book by one of India’s highest selling authors - Rithvik Singh,214.0,https://m.media-amazon.com/images/I/71yVxy7knHL._AC_UY218_.jpg,https://www.amazon.in/Thank-You-Leaving-Learning-goodbye/dp/0143474057/ref=sr_1_10?dib=eyJ2IjoiMSJ9.bIZq2Ep6x5jtHPVlCi0Z1OHzJPVkL2axqTwLsNqL-VlsRVSbxAzXrvxpm9eizNl11i0fKw_EjT8vrbC5jr1_Un5jg2beamqkjldCvkIWhEfLMMBCx_KDacMMMdIzhQmqRpoa2YtJaSuMSCF-z1OoRAyCHo9Ni8CydbS1JW-PdkBPhFWvBI45HHzGIwgrRUvHkpnRCry4suWd5MCXyS_JFGXv9uSWQO0KX94zrGgpiQY.51Xm7fPT8-TeNLHi8CBNTW0r_qW4sGiAEMrWY7WQUiM&dib_tag=se&keywords=Books&qid=1761142050&sr=8-10,Books
