Title,Description,Price (INR),Image URL,Product Link,Category
Lymio,Lymio,549.0,https://m.media-amazon.com/images/I/71qJNrZhd1L._AC_UL320_.jpg,https://www.amazon.in/Men-shorts-cotton-casual-Short-11-Lightgrey-L/dp/B0DRFN3SBV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-1,Clothing
HACER,HACER,179.0,https://m.media-amazon.com/images/I/61Qh7Fzo-kL._AC_UL320_.jpg,https://www.amazon.in/HACER-Waterproof-Rainwear-Raincoat-Travelling/dp/B0D2TM579G/ref=sr_1_2?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-2,Clothing
Zombom,Zombom,499.0,https://m.media-amazon.com/images/I/71nEy2iSx-L._AC_UL320_.jpg,https://www.amazon.in/Zombom-Cotton-Regular-Mandarin-Chinese/dp/B0D3XNFPGY/ref=sr_1_3?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-3,Clothing
THIRD QUADRANT,THIRD QUADRANT,349.0,https://m.media-amazon.com/images/I/51OFwopy1YL._AC_UL320_.jpg,https://www.amazon.in/THIRD-QUADRANT-Running-Quick-Dry-Athletic/dp/B0DXC433D2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-4,Clothing
CB-COLEBROOK,CB-COLEBROOK,499.0,https://m.media-amazon.com/images/I/71dF+pDGxIL._AC_UL320_.jpg,https://www.amazon.in/CB-COLEBROOK-Casual-Fashion-Textured-X-Large/dp/B0D77NHDNF/ref=sr_1_5?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-5,Clothing
Boldfit,Boldfit,499.0,https://m.media-amazon.com/images/I/61O5YPmdDxL._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Mens-Sports-Shorts-BFTBM7001TBlackL_Black_L/dp/B0D6BQHSGL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-6,Clothing
BULLMER,BULLMER,750.0,https://m.media-amazon.com/images/I/61JxTwwj-5L._AC_UL320_.jpg,https://www.amazon.in/BULLMER-Cotton-Trendy-Clothing-Co-Ords/dp/B0CT8XW4PV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-7,Clothing
CB-COLEBROOK,CB-COLEBROOK,499.0,https://m.media-amazon.com/images/I/71DU0wuXOSL._AC_UL320_.jpg,https://www.amazon.in/CB-COLEBROOK-Regular-Spread-Collar-Casual/dp/B0CGLMT89Z/ref=sr_1_8?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-8,Clothing
GRECIILOOKS,GRECIILOOKS,499.0,https://m.media-amazon.com/images/I/51efXl8NOnL._AC_UL320_.jpg,https://www.amazon.in/GRECIILOOKS-Regular-Track-Pant-Gl-Tp-1011-Large-White/dp/B0CXPWH84N/ref=sr_1_9?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-9,Clothing
DEELMO,DEELMO,489.0,https://m.media-amazon.com/images/I/61P0jlvu1OL._AC_UL320_.jpg,https://www.amazon.in/DEELMO-Cotton-Mandarin-Collar-Regular/dp/B0CNM4RLZ2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.a2fhmSdj0ZSo47Zps2wt9c3Esy-B1vN9-qHSlvzOPuAh12o107NVyrNqxJxJiYnMT6ehGCVswOyUV65IBwIEDb8Igy2N-Yy8ndGtbu6NUkjkLueeFloDl37195NHlf0ryJjUJI2TNurTCldSX_Ayt7FH9RtwrHXFXPz6ibFFE14lTbVdl0MjIGSVhG6OCB0fpVwHrisNAoUTMndelOxThGFN3sOLtm1u2WLg7kRUWzHMaebyx3j3JQbPu0l6F-bKyd_SfQBvgOc-CEPhL4GlLWzFkrgYWBH290MddNUW0Cw.4gpwUM38ZEOtYJ2rualCejqSTUgBvVl3ttadPE3-o4A&dib_tag=se&keywords=Clothing&qid=1761142388&sr=8-10,Clothing
