Title,Description,Price (INR),Image URL,Product Link,Category
"MegaDesk Desktop Computer Set, CoRe i5 2400, 8GB RAM, 256GB SSD, 19-inch HD LED Monitor, RGB Keyboard Mouse, Sound Bar, Windows 10 (8-256GB)","MegaDesk Desktop Computer Set, CoRe i5 2400, 8GB RAM, 256GB SSD, 19-inch HD LED Monitor, RGB Keyboard Mouse, Sound Bar, Windows 10 (8-256GB)",14990.0,https://m.media-amazon.com/images/I/51qsCNzkSPL._AC_UY218_.jpg,https://www.amazon.in/MegaDesk-Desktop-Computer-19-inch-Keyboard/dp/B0F52Y6NF8/ref=sr_1_1?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-1,Computers
"HP All-in-One, Intel N200,21.45'' (54.5 cm), FHD, 8GB DDR5, 512GB SSD, Intel UHD Graphics, 720P HD Camera W/Privacy Shutter, Dual Speakers (Win11, White, 4.17 Kg) Dg0154in","HP All-in-One, Intel N200,21.45'' (54.5 cm), FHD, 8GB DDR5, 512GB SSD, Intel UHD Graphics, 720P HD Camera W/Privacy Shutter, Dual Speakers (Win11, White, 4.17 Kg) Dg0154in",31490.0,https://m.media-amazon.com/images/I/61IcdoVmZuL._AC_UY218_.jpg,https://www.amazon.in/HP-Processor-21-45-Inch-Graphics-Speakers/dp/B0D6KM9W3M/ref=sr_1_2?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-2,Computers
"Giganics All-in-One Desktop Computer Set, i5 3rd Gen, 8GB RAM, 256GB SSD, 19"" HD LED Monitor, RGB Keyboard & Mouse, WiFi, Windows 10, MS Office (8-256GB)","Giganics All-in-One Desktop Computer Set, i5 3rd Gen, 8GB RAM, 256GB SSD, 19"" HD LED Monitor, RGB Keyboard & Mouse, WiFi, Windows 10, MS Office (8-256GB)",12990.0,https://m.media-amazon.com/images/I/51aQwRE+-IL._AC_UY218_.jpg,https://www.amazon.in/Giganics-Desktop-Computer-Monitor-Keyboard/dp/B0DQXNWB1G/ref=sr_1_3?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-3,Computers
"TECNICO Student Learning Desktop Set, 20"" HD All-in-One Computer, Dual Core, 8 GB DDR3 RAM, 128 GB SSD, 20"" LED Monitor, Keyboard & Mouse, Webcam, Headphone & Mic, WiFi","TECNICO Student Learning Desktop Set, 20"" HD All-in-One Computer, Dual Core, 8 GB DDR3 RAM, 128 GB SSD, 20"" LED Monitor, Keyboard & Mouse, Webcam, Headphone & Mic, WiFi",11559.0,https://m.media-amazon.com/images/I/71MCFxs5qkL._AC_UY218_.jpg,https://www.amazon.in/TECNICO-Learning-Computer-Keyboard-Headphone/dp/B0DQPRBKZB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-4,Computers
"Desktop Computer Set with i5 3470, 8GB RAM, 256GB SSD, 19-inch Monitor, Keyboard, Mouse, WiFi, Speakers, Windows 10, Black","Desktop Computer Set with i5 3470, 8GB RAM, 256GB SSD, 19-inch Monitor, Keyboard, Mouse, WiFi, Speakers, Windows 10, Black",13299.0,https://m.media-amazon.com/images/I/61R+JZ6k4WL._AC_UY218_.jpg,https://www.amazon.in/Desktop-Computer-19-inch-Keyboard-Speakers/dp/B0F7GK6XYQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-5,Computers
"Core i5 Assembled Desktop PC (16GB RAM, 512 SSD, Windows 11 Home, MS Office, 19'' Monitor, Black, DDR3, Ready-to-Use PC)","Core i5 Assembled Desktop PC (16GB RAM, 512 SSD, Windows 11 Home, MS Office, 19'' Monitor, Black, DDR3, Ready-to-Use PC)",14999.0,https://m.media-amazon.com/images/I/61zX048muVL._AC_UY218_.jpg,https://www.amazon.in/ASSEMBLD-Windows-Screen-Assembled-Office/dp/B0CJRFD2D1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-6,Computers
"Desktop Computer Set with i5-3470, 16GB RAM, 512GB SSD, 19-inch Monitor, Keyboard, Mouse, WiFi Dongle, Speakers, Windows 10, Black","Desktop Computer Set with i5-3470, 16GB RAM, 512GB SSD, 19-inch Monitor, Keyboard, Mouse, WiFi Dongle, Speakers, Windows 10, Black",15999.0,https://m.media-amazon.com/images/I/61AEz8bDUmL._AC_UY218_.jpg,https://www.amazon.in/Desktop-Computer-i5-3470-Keyboard-Speakers/dp/B0FLJX5CT9/ref=sr_1_7?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-7,Computers
"Lenovo Ideacentre AIO AMD Ryzen 7 7735HS 23.8"" FHD IPS All-In-One Desktop(16GB RAM/512GB SSD/Win11/Microsoft 365 Basic + Office Home 2024/3Wx2 Speakers/5MP Camera/Wireless Keyboard & Mouse),F0HR008YIN","Lenovo Ideacentre AIO AMD Ryzen 7 7735HS 23.8"" FHD IPS All-In-One Desktop(16GB RAM/512GB SSD/Win11/Microsoft 365 Basic + Office Home 2024/3Wx2 Speakers/5MP Camera/Wireless Keyboard & Mouse),F0HR008YIN",50990.0,https://m.media-amazon.com/images/I/61-TUPeQxrL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Ideacentre-Microsoft-Speakers-F0HR008YIN/dp/B0FC62KKF2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-8,Computers
"TECNICO Desktop Computer Set, Windows 11 Intel Core I5-2400, 16GB RAM, 256GB SSD + 500GB HDD, 20-Inch Monitor, Wireless Keyboard & Mouse, Webcam, Headphones","TECNICO Desktop Computer Set, Windows 11 Intel Core I5-2400, 16GB RAM, 256GB SSD + 500GB HDD, 20-Inch Monitor, Wireless Keyboard & Mouse, Webcam, Headphones",16199.0,https://m.media-amazon.com/images/I/61PnlfnLkwL._AC_UY218_.jpg,https://www.amazon.in/TECNICO-Computer-Wireless-Keyboard-Headphones/dp/B0DT51CNB6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-9,Computers
"ASUS AIO A3202,21.45"",12th Gen, Intel Core i3-1215U, All-in-One PC (FHD/8GB/256GB/Windows 11/MS Office 365 Basic (1Year)*/Office 2024/Black/4.84 Kg), with Wireless Keyboard & Mouse, A3202WBA-BPB010WS","ASUS AIO A3202,21.45"",12th Gen, Intel Core i3-1215U, All-in-One PC (FHD/8GB/256GB/Windows 11/MS Office 365 Basic (1Year)*/Office 2024/Black/4.84 Kg), with Wireless Keyboard & Mouse, A3202WBA-BPB010WS",33990.0,https://m.media-amazon.com/images/I/71huPUar1jL._AC_UY218_.jpg,https://www.amazon.in/ASUS-i3-1215U-Wireless-Keyboard-A3202WBA-BPB010WS/dp/B0FLXHBHK8/ref=sr_1_10?dib=eyJ2IjoiMSJ9.uzgX0-4Twa9BXM_nwnQSZzfIPkxjjx9iQzWqqC8Qqlx398mmC2PflQUI5bjga9m4vP2oUdNg9rBDH6QR2EKfLcyI3I6AO9LMOZXOFIfKzpeqVodX21u8V5sdrSwyMW1qSd_fIFWKUDBkDOMcqtqegaiR1WIcq1-mvbAXlW993oeKQRSUxcwLxeSx3K3unfMVPLWZ3LZJRmzRZ8HqodSwf5h0R3EPavdlnCsdydyXuKY.AFiXZMBW_x9KnTRMFR8xzEzQoltDx75TXtOwncQ9Z-U&dib_tag=se&keywords=Computers&qid=1761141306&sr=8-10,Computers
