Title,Description,Price (INR),Image URL,Product Link,Category
"Dr Trust USA 526 Legend BMI Weight Scale & Body Fat Analyzer with IOS/Android App Sync,14 Essential Composition Metrics Weighing Machine for Home Health Monitoring (Black)","Dr Trust USA 526 Legend BMI Weight Scale & Body Fat Analyzer with IOS/Android App Sync,14 Essential Composition Metrics Weighing Machine for Home Health Monitoring (Black)",799.0,https://m.media-amazon.com/images/I/71NTdqTLhlL._AC_UL320_.jpg,https://www.amazon.in/Dr-Trust-Essential-Composition-Monitoring/dp/B0D6NBHSY7/ref=sr_1_1?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-1,Health_&_household
Dabur Jamun Neem Karela Juice - 1L | Helps Control Blood Sugar Level & Reduces Bad Cholesterol | Good for Metabolic & Digestive Health | Ayurvedic Health Juice For Diabetic Care,Dabur Jamun Neem Karela Juice - 1L | Helps Control Blood Sugar Level & Reduces Bad Cholesterol | Good for Metabolic & Digestive Health | Ayurvedic Health Juice For Diabetic Care,232.0,https://m.media-amazon.com/images/I/815ISK5MWBL._AC_UL320_.jpg,https://www.amazon.in/Dabur-Jamun-Neem-Karela-Juice/dp/B08W36QBV9/ref=sr_1_2?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-2,Health_&_household
Himalaya Ashwagandha General Wellness Tablets | Stress Relief | Rejuvenates Mind & Body - 60 Tablets,Himalaya Ashwagandha General Wellness Tablets | Stress Relief | Rejuvenates Mind & Body - 60 Tablets,201.0,https://m.media-amazon.com/images/I/71YESObJgsL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Wellness-Herbs-Ashvagandha-General/dp/B01DQV8BIM/ref=sr_1_3?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-3,Health_&_household
"Paper Boat Absolute Health Dry Fruits Mix, Premium Trail Mix | Healthy Mixed Nuts with Dry Fruits | Almonds | Cashews | Cranberry | Pumpkin Seeds | Candied Amla, Reusable Jar (1000g)","Paper Boat Absolute Health Dry Fruits Mix, Premium Trail Mix | Healthy Mixed Nuts with Dry Fruits | Almonds | Cashews | Cranberry | Pumpkin Seeds | Candied Amla, Reusable Jar (1000g)",1088.0,https://m.media-amazon.com/images/I/71uoadMXYJL._AC_UL320_.jpg,https://www.amazon.in/Paper-Boat-Absolute-SuperMix-Cranberry/dp/B09QGTVT5B/ref=sr_1_4?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-4,Health_&_household
"Baidyanath Neem Karela Jamun Juice -1000ml | Natural Remedy for Blood Sugar Management & Reduces Bad Cholesterol | Best For Digestive Health, Diabetic Care, Skin Care & Natural Detox | No Added Sugar","Baidyanath Neem Karela Jamun Juice -1000ml | Natural Remedy for Blood Sugar Management & Reduces Bad Cholesterol | Best For Digestive Health, Diabetic Care, Skin Care & Natural Detox | No Added Sugar",220.0,https://m.media-amazon.com/images/I/61cgiZvqZjL._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Management-Cholesterol-Digestive-Diabetic/dp/B0F6MV13QY/ref=sr_1_5?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-5,Health_&_household
Carbamide Forte Probiotics Supplement 50 Billion CFU Gut Health Supplements with Probiotic | Gut Cleanse with Prebiotics and Probiotics – 60 Capsules,Carbamide Forte Probiotics Supplement 50 Billion CFU Gut Health Supplements with Probiotic | Gut Cleanse with Prebiotics and Probiotics – 60 Capsules,745.0,https://m.media-amazon.com/images/I/71hLIGX2hSL._AC_UL320_.jpg,https://www.amazon.in/Carbamide-Forte-Probiotics-Supplement-Prebiotics/dp/B08FD9WT3J/ref=sr_1_6?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-6,Health_&_household
"Centrum Adults 50+ Multivitamin Tablet for Men & Women | With 23 Vital Nutrients including Zinc, Magnesium, Vitamin B, C and D, Calcium for Energy, Strong Joints, Immunity and Heart Health | Veg - 50 tablets","Centrum Adults 50+ Multivitamin Tablet for Men & Women | With 23 Vital Nutrients including Zinc, Magnesium, Vitamin B, C and D, Calcium for Energy, Strong Joints, Immunity and Heart Health | Veg - 50 tablets",540.0,https://m.media-amazon.com/images/I/51NNtm26tCL._AC_UL320_.jpg,https://www.amazon.in/Centrum-Multivitamin-Calcium-Vitamin-Nutrients/dp/B0BD1RTMWR/ref=sr_1_7?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-7,Health_&_household
Himalaya Healthy Gut Probiotic Gummies | Pack of 30s | Nutraceutical | Promotes Good Bacteria in the Gut | Supports Digestive Health and Immunity | Natural Strawberry Flavor,Himalaya Healthy Gut Probiotic Gummies | Pack of 30s | Nutraceutical | Promotes Good Bacteria in the Gut | Supports Digestive Health and Immunity | Natural Strawberry Flavor,328.0,https://m.media-amazon.com/images/I/61EOfeii+tL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Probiotic-Nutraceutical-Digestive-Strawberry/dp/B0DNK479J7/ref=sr_1_8?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-8,Health_&_household
Dabur Tulsi Drops : 30ml (20ml + 10ml Free) | Contains Extracts of 5 Rare Tulsi | Boosts Immunity | Cough And Cold Relief | 100% Ayurvedic | Builds Respiratory Health,Dabur Tulsi Drops : 30ml (20ml + 10ml Free) | Contains Extracts of 5 Rare Tulsi | Boosts Immunity | Cough And Cold Relief | 100% Ayurvedic | Builds Respiratory Health,95.0,https://m.media-amazon.com/images/I/711BtjiDpxL._AC_UL320_.jpg,https://www.amazon.in/DABUR-Tulsi-Drops-50-Extra/dp/B0868XBJN7/ref=sr_1_9?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-9,Health_&_household
"Centrum Women - Multivitamin Tablet for Women | With 23 Vital Nutrients including Zinc, Magnesium, Vitamin B, C, D, Calcium for Energy, Immunity, Radiance, Strong Bones and Overall Health | Veg - 50 tablets","Centrum Women - Multivitamin Tablet for Women | With 23 Vital Nutrients including Zinc, Magnesium, Vitamin B, C, D, Calcium for Energy, Immunity, Radiance, Strong Bones and Overall Health | Veg - 50 tablets",540.0,https://m.media-amazon.com/images/I/51AgdybIeFL._AC_UL320_.jpg,https://www.amazon.in/Centrum-Multivitamin-Nutrients-Radiance-Immunity/dp/B0BD2H2XJ2/ref=sr_1_10?dib=eyJ2IjoiMSJ9._G7U3af-WgdrDiZv14rrwfp62jvAhhXX5MVYJ1MYegKkwybyp1etDEpxRS2aC02Km6f9MA76-VApWc8vspG7pdbk8fJkRdcWeVfFYJfOGAzRqs-ElQURuaywPTby_U_D7C80hUMXnmEK7BN7ghG1FKXj_PO55pcBZXFuB1vln_kGIdWjai_ndp9OgblFfvbEk8XU_xaDsn6iFWNgAXpcjZqXUKghvKtyVqyBNf_1kna3xvCvjFvVrXzz7G0JA7Ku6ap1Ss0rdKU_E5xq8K9C3SWc4ciKcTSO_1pz1Q7hZBk.fEklXXBEGWbPM6jQI6siclAMvekEmcjahBcUCDWzmnk&dib_tag=se&keywords=Health&qid=1761142640&sr=8-10,Health_&_household
