Title,Description,Price (INR),Image URL,Product Link,Category
Shining Diva Fashion,Shining Diva Fashion,299.0,https://m.media-amazon.com/images/I/71R2QnSdv+L._AC_UL320_.jpg,https://www.amazon.in/Shining-Diva-Fashion-Butterfly-15911np/dp/B0D3DCP7JQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-1,Jewelry
LUCENTARTS JEWELLERY,LUCENTARTS JEWELLERY,199.0,https://m.media-amazon.com/images/I/41nnjLN-gEL._AC_UL320_.jpg,https://www.amazon.in/Traditional-Elephant-Jewellery-Adjustable-TM226RUBY/dp/B0FMY3SQPJ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-2,Jewelry
LUCENTARTS JEWELLERY,LUCENTARTS JEWELLERY,199.0,https://m.media-amazon.com/images/I/51NWNDKibrL._AC_UL320_.jpg,https://www.amazon.in/Traditional-Necklace-Jewellery-Earrings-Adjustable/dp/B0FMXLVWFP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-3,Jewelry
Shining Diva Fashion,Shining Diva Fashion,598.0,https://m.media-amazon.com/images/I/81C+3Hz9emL._AC_UL320_.jpg,https://www.amazon.in/Shining-Diva-Fashion-Traditional-14822s/dp/B0C4TDNPRZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-4,Jewelry
Shining Diva Fashion,Shining Diva Fashion,297.0,https://m.media-amazon.com/images/I/617BH0hUF1L._AC_UL320_.jpg,https://www.amazon.in/Shining-Diva-Fashion-Traditional-13208s/dp/B0B15GYNS4/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-5,Jewelry
ZAVERI PEARLS,ZAVERI PEARLS,410.0,https://m.media-amazon.com/images/I/71eaAiL-wjL._AC_UL320_.jpg,https://www.amazon.in/ZAVERI-PEARLS-Ethnic-Necklace-Women-ZPFK8689/dp/B07Q538CC5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-6,Jewelry
Atasi International,Atasi International,233.0,https://m.media-amazon.com/images/I/717FdzlctpL._AC_UL320_.jpg,https://www.amazon.in/Atasi-International-American-Jewellery-PU5871/dp/B0CVV1799Z/ref=sr_1_7?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-7,Jewelry
Sukkhi,Sukkhi,229.0,https://m.media-amazon.com/images/I/81IQvh43G8L._AC_UL320_.jpg,https://www.amazon.in/Sukkhi-Wedding-Engagement-Jewellery-N73544/dp/B07P73DF79/ref=sr_1_8?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-8,Jewelry
Shining Diva Fashion,Shining Diva Fashion,349.0,https://m.media-amazon.com/images/I/61fLFJtPU9L._AC_UL320_.jpg,https://www.amazon.in/Shining-Diva-Fashion-Jewellery-14622s/dp/B0B8X7FFD5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-9,Jewelry
YouBella,YouBella,345.0,https://m.media-amazon.com/images/I/61hMMT+72SL._AC_UL320_.jpg,https://www.amazon.in/YouBella-Traditional-Jewellery-American-Mix_Combo_102/dp/B07LH5JMHQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.vdXWvFJ_oewVEBqUTro09lybeoo05hflzULAr9Z0E9Gxkc9qLMJ_JM2jtnX95Jxnke5g5Wbfrgn738PKZYq9ghRHvJBQlebFKLjM6a9sSVbSMR9fp7tVM7V7xWUduJit07R1e6Uw8trVLrq_fGZD3-UwStIfczfjcb9rMiKKQeBqPSe6Ex1LyOeL0B9Kgc-ic48a361nVUuKR2y_NOn0VUvW-Uo0zrXhGnh1qAXGuVJ48PgtQQItFMypZjQgkSd1IshwR4kdhSUaLKyPesaRaeTpieiK4-2lT1_vNFP7Krs.mSqHZB7XF0cMX-1sMTyMGQ1LWuQ5Y6_hmfCvo__6WU8&dib_tag=se&keywords=Jewelry&qid=1761143046&sr=8-10,Jewelry
