Title,Description,Price (INR),Image URL,Product Link,Category
"IFB 24L Solo Microwave Oven (24PM2S, Multi Stage Cooking with 69 Indian & Continental Auto Cook Menus, Child-lock Protection, Deodorize function, Delay Start & Power Save, black)","IFB 24L Solo Microwave Oven (24PM2S, Multi Stage Cooking with 69 Indian & Continental Auto Cook Menus, Child-lock Protection, Deodorize function, Delay Start & Power Save, black)",6990.0,https://m.media-amazon.com/images/I/61vQxewGCiL._AC_UY218_.jpg,https://www.amazon.in/IFB-Microwave-24PM2S-Continental-Recipes/dp/B0CGN8FMJ8/ref=sr_1_1?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-1,Microwave_oven
"LG 20 L Solo Microwave Oven (MS2043BP, Black, Health plus Menu, I-Wave Technology, Indian Cuisine, Even Reheat & Defrost, Auto Cook Menu, Anti-Bacterial Cavity & Steam Clean)","LG 20 L Solo Microwave Oven (MS2043BP, Black, Health plus Menu, I-Wave Technology, Indian Cuisine, Even Reheat & Defrost, Auto Cook Menu, Anti-Bacterial Cavity & Steam Clean)",,https://m.media-amazon.com/images/I/81diUrv+yiL._AC_UY218_.jpg,https://www.amazon.in/LG-Microwave-MS2043BP-Black-Starter/dp/B07MC84QPL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-2,Microwave_oven
"Panasonic 20L Solo Microwave Oven (NN-SM25JBFDG,Black)","Panasonic 20L Solo Microwave Oven (NN-SM25JBFDG,Black)",5640.0,https://m.media-amazon.com/images/I/71u+P-c8jFL._AC_UY218_.jpg,https://www.amazon.in/Panasonic-Solo-Microwave-NN-SM25JBFDG-Black/dp/B08DYCWC9R/ref=sr_1_3?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-3,Microwave_oven
"Panasonic 25L Solo Microwave Oven (NN-ST310QBFG, Black, 85 Auto Cook Menus)","Panasonic 25L Solo Microwave Oven (NN-ST310QBFG, Black, 85 Auto Cook Menus)",7340.0,https://m.media-amazon.com/images/I/712wBdtn5AL._AC_UY218_.jpg,https://www.amazon.in/Panasonic-Microwave-NN-ST310QBFG-Black-Menus/dp/B0D7MFQLJR/ref=sr_1_4?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-4,Microwave_oven
"Haier 19 L Inverter Technology, Light Weight, Defrost, 5 Power Levels Solo Microwave Oven (HIL1901MBPB, Black)","Haier 19 L Inverter Technology, Light Weight, Defrost, 5 Power Levels Solo Microwave Oven (HIL1901MBPB, Black)",,https://m.media-amazon.com/images/I/61TA6Mtz59L._AC_UY218_.jpg,https://www.amazon.in/Haier-Solo-Microwave-HIL1901MBPB-BLACK/dp/B0CT59YVZ3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-5,Microwave_oven
"Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, 10 Yr warranty)","Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, 10 Yr warranty)",12390.0,https://m.media-amazon.com/images/I/71XXjl2cZhL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Convection-Microwave-MC28A5013AK-TL/dp/B09XBMXQ34/ref=sr_1_6?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-6,Microwave_oven
"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Black, Various Auto Cook Programs, Keep Warm, Quick Defrost, LED Display, Ceramic Enamel Cavity, Wire Rack with 10 year warranty)","Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Black, Various Auto Cook Programs, Keep Warm, Quick Defrost, LED Display, Ceramic Enamel Cavity, Wire Rack with 10 year warranty)",9999.0,https://m.media-amazon.com/images/I/71+ZqTrFT-L._AC_UY218_.jpg,https://www.amazon.in/Samsung-Grill-Microwave-MG23A3515AK-TL/dp/B09PF1TK41/ref=sr_1_7?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-7,Microwave_oven
"LG 20 L Grill Microwave Built-In Oven (MH2044DB, Black, Quartz Heater, I-Wave Technology, Indian Cuisine, Auto Cook Menu, Steam Clean, Anti-Bacterial Cavity & Health plus Menu)","LG 20 L Grill Microwave Built-In Oven (MH2044DB, Black, Quartz Heater, I-Wave Technology, Indian Cuisine, Auto Cook Menu, Steam Clean, Anti-Bacterial Cavity & Health plus Menu)",8490.0,https://m.media-amazon.com/images/I/71Mbx9Kn3WL._AC_UY218_.jpg,https://www.amazon.in/LG-Grill-Microwave-MH2044DB-Black/dp/B00R5QNW8E/ref=sr_1_8?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-8,Microwave_oven
"IFB 30 L Microwave Conventional Oven (30BRC2, Black) Standard","IFB 30 L Microwave Conventional Oven (30BRC2, Black) Standard",,https://m.media-amazon.com/images/I/61n-dJ0vUAL._AC_UY218_.jpg,https://www.amazon.in/IFB-Convection-Microwave-30BRC2-Black/dp/B016ZLKJSU/ref=sr_1_9?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-9,Microwave_oven
"LG 28 L Charcoal Convection Healthy Microwave Compact Oven(Mj2887Bium, Black, Healthy Heart Recipes, Diet Fry,Pasteurized Milk, 360°Motorised Rotisserie & 10 Yrs Warranty-Charcoal Heater, Ebony Regal)","LG 28 L Charcoal Convection Healthy Microwave Compact Oven(Mj2887Bium, Black, Healthy Heart Recipes, Diet Fry,Pasteurized Milk, 360°Motorised Rotisserie & 10 Yrs Warranty-Charcoal Heater, Ebony Regal)",,https://m.media-amazon.com/images/I/81ZZF3WLAXL._AC_UY218_.jpg,https://www.amazon.in/LG-Convection-Microwave-MJ2887BIUM-Rotisserie/dp/B0CQSYPFSQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.7HX4kAufjO9Lj0BV0uxOsiq7nNny7aQIw8TVFK-E2RmmXfanZu_KUt14W3eQM9bSUKB3EDAZVkvhR5Wrc-IPdKcvpjKTSIoa8lWdbgdRsCgnVssToPkRTlsjleIimi3zJoZYSFRhSK_s_gwoz7zfuaP8m1DvD7MI2iKLzp6kZ-uf_Vc5-d0kbNxr_J-X1IFo7fP1uDQY0h4B3lD4HB5BaxCgPCcF-kxQ6GUriUIMs0Y.14huGeSVc9A5fLLTIduGjgsOl6RQig-fov2KLTd7J1E&dib_tag=se&keywords=Microwave+Oven&qid=1761141892&sr=8-10,Microwave_oven
