Title,Description,Price (INR),Image URL,Product Link,Category
Kantara - A Legend,Kantara - A Legend,99.0,https://m.media-amazon.com/images/I/81b321uFHmL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.63d1b1bd-3a4f-4f26-bb67-a82454b11929%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0B8LDPL2Q&ref=sr_1_1&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-1,Movies_&_tv_shows
Coolie,Coolie,279.0,https://m.media-amazon.com/images/I/91hiexLELHL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.9396f1e8-0550-4727-bfb0-33668c2a6b9a%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0FPDK4BWS&ref=sr_1_2&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-2,Movies_&_tv_shows
Pushpa: The Rise (Hindi),Pushpa: The Rise (Hindi),,https://m.media-amazon.com/images/I/91hlB1shW5L._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.ac3855ce-6c21-4b6e-a8d8-dd0479dafda1%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B09Q68RK76&ref=sr_1_3&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-3,Movies_&_tv_shows
Thalaivan Thalaivii,Thalaivan Thalaivii,149.0,https://m.media-amazon.com/images/I/913qe5Kj1PL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.3957676d-1c11-4e55-abb4-1e0c0e948252%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0FLTB1ML9&ref=sr_1_4&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-4,Movies_&_tv_shows
Kuberaa,Kuberaa,99.0,https://m.media-amazon.com/images/I/915qp1kSftL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.21390a2a-0b62-4802-934b-9ccb4256f75d%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0DWLSM7RW&ref=sr_1_5&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-5,Movies_&_tv_shows
Maalik,Maalik,279.0,https://m.media-amazon.com/images/I/A1H9M3yzvtL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.9373c333-59b2-45f8-bab6-09757c6262f3%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0FKYZ5P64&ref=sr_1_6&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-6,Movies_&_tv_shows
Bawaal,Bawaal,,https://m.media-amazon.com/images/I/71m2nlHDsGL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.10430bdc-712f-47e8-bdd6-c7d5ce01e643%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0BX1PW9KL&ref=sr_1_7&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-7,Movies_&_tv_shows
Housefull 5A,Housefull 5A,99.0,https://m.media-amazon.com/images/I/91IEmqp4AuL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.f6dd9a3b-27a0-4259-b55c-b4f2db200366%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0FG1BX36N&ref=sr_1_8&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-8,Movies_&_tv_shows
Odela 2,Odela 2,99.0,https://m.media-amazon.com/images/I/81aCWrp5deL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.67c7f0f0-d40d-410d-82e7-9e51f81c1c11%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0F5JQK1BL&ref=sr_1_9&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-9,Movies_&_tv_shows
Drishyam 2 (Hindi),Drishyam 2 (Hindi),,https://m.media-amazon.com/images/I/91STiltuxdL._AC_UY218_.jpg,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.2a67b1bd-15a9-414c-97e9-8ccb8380eff4%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0B8J78H51&ref=sr_1_10&keywords=Movies&dib_tag=se&dib=eyJ2IjoiMSJ9.MCRoWUMaw3raZeIOgHhe6YPpPEwmpvKVaTHhTDcMcQAVsii1dGkQHJZe12nuh1dBfQFsub4A6iHRcakxFt70uvTgFUZHVGy2QZs_kjL5OjkiFu_siVjuV_udn-scBajch6kie5HUoDbRoToO2vPBRvT2yhgU1VO97Kqy3zaUwng7N36ISAj_THWT_Kkp1bMQPrv3cL4UGO1mXmEMllhi9Asv4ANmKg_IEo1Goc2tc3g.dQGi_5-tud8XlFs6WaBsbae_a84Dk0eXizzfvP74tLI&qid=1761142150&sr=8-10,Movies_&_tv_shows
