Title,Description,Price (INR),Image URL,Product Link,Category
"Shuttle Art Office Desk Organizer with Drawer, All in One Office Supplies and Cool Desk Accessories Pen Holder, Enhance Your Decor, Desktop 8-Compartment Laddered Desk Organizer(White)","Shuttle Art Office Desk Organizer with Drawer, All in One Office Supplies and Cool Desk Accessories Pen Holder, Enhance Your Decor, Desktop 8-Compartment Laddered Desk Organizer(White)",199.0,https://m.media-amazon.com/images/I/61NTWfv92CL._AC_UL320_.jpg,https://www.amazon.in/Shuttle-Art-Organizer-Accessories-8-Compartment/dp/B0DWFBQ8BC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-1,Office_products
"AERYS Digital Alarm Clock with Automatic Sensor, Date and Temperature Display, Compact Desk Table Clock for Students, Home, Office, Bedroom, Living Room,Home Decor, Corporate Use (Black Digital)","AERYS Digital Alarm Clock with Automatic Sensor, Date and Temperature Display, Compact Desk Table Clock for Students, Home, Office, Bedroom, Living Room,Home Decor, Corporate Use (Black Digital)",272.0,https://m.media-amazon.com/images/I/51MctYF8BiL._AC_UL320_.jpg,https://www.amazon.in/AERYS-Digital-Corporate-Temperature-Black-Centimeters/dp/B0CQH5N1DY/ref=sr_1_2?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-2,Office_products
"UCRAVO Stylish Stackable Desk Organizer with 2 Drawers and 5 Compartments– Multi-Functional Desktop Storage Box with Pen Holder for Home, Office, School, Craft Supplies, and Art Stationery - Blue","UCRAVO Stylish Stackable Desk Organizer with 2 Drawers and 5 Compartments– Multi-Functional Desktop Storage Box with Pen Holder for Home, Office, School, Craft Supplies, and Art Stationery - Blue",179.0,https://m.media-amazon.com/images/I/61RQ3p2wEpL._AC_UL320_.jpg,https://www.amazon.in/UCRAVO-Stackable-Compartments-Multi-Functional-Stationery/dp/B0FP2MV5N8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-3,Office_products
"HOWUKE Keyboard Shortcut Mouse Pad, Office/Excel/Word/PPT Shortcuts Cheat Sheet Mat, Quick Key Super Large Anti-Slip Keyboard Pad wit Clear Shortcut Key Patterns(31.5 * 11.8in)","HOWUKE Keyboard Shortcut Mouse Pad, Office/Excel/Word/PPT Shortcuts Cheat Sheet Mat, Quick Key Super Large Anti-Slip Keyboard Pad wit Clear Shortcut Key Patterns(31.5 * 11.8in)",199.0,https://m.media-amazon.com/images/I/81xnsrlP7vL._AC_UL320_.jpg,https://www.amazon.in/Anti-Slip-Keyboard-Microsoft-Software-Shortcuts/dp/B0CGV638KC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-4,Office_products
"Portronics Ruffpad 8.5E Re-Writable LCD Writing Pad with Screen 21.5cm (8.5-inch) for Drawing, Playing, Handwriting Gifts for Kids & Adults(Black), small","Portronics Ruffpad 8.5E Re-Writable LCD Writing Pad with Screen 21.5cm (8.5-inch) for Drawing, Playing, Handwriting Gifts for Kids & Adults(Black), small",139.0,https://m.media-amazon.com/images/I/51nzIs6jTCL._AC_UL320_.jpg,https://www.amazon.in/Portronics-Ruffpad-Re-Writable-8-5-inch-Handwriting/dp/B09GF6JBZN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-5,Office_products
"FLAIR Move Gel Pen | Minimalistic & Aesthetic Matt Finish Pastel Body Colors | Effortless Writing With Sleek Clip Design | Blue Ink, Set Of 10","FLAIR Move Gel Pen | Minimalistic & Aesthetic Matt Finish Pastel Body Colors | Effortless Writing With Sleek Clip Design | Blue Ink, Set Of 10",100.0,https://m.media-amazon.com/images/I/51GIeLAOF1L._AC_UL320_.jpg,https://www.amazon.in/FLAIR-Minimalistic-Aesthetic-Effortless-Writing/dp/B0D816QSDV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-6,Office_products
"Afrodite Magnetic Cable Clips, Cord Organizer Holder, for Desk Cable Management, Adhesive Wire Keeper for Desk in Bedroom Living Room Kichen Office and for Car (White-9 pcs)","Afrodite Magnetic Cable Clips, Cord Organizer Holder, for Desk Cable Management, Adhesive Wire Keeper for Desk in Bedroom Living Room Kichen Office and for Car (White-9 pcs)",279.0,https://m.media-amazon.com/images/I/71IkwzJkKyL._AC_UL320_.jpg,https://www.amazon.in/Afrodite-Magnetic-Cable-Organizer-Management/dp/B0F13L78QT/ref=sr_1_7?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-7,Office_products
"Portronics MODESK Universal Mobile Holder Stand with Metal Body, Anti Skid Design, Light Weight for All Smartphones, Tablets, Kindle, iPad(Black)","Portronics MODESK Universal Mobile Holder Stand with Metal Body, Anti Skid Design, Light Weight for All Smartphones, Tablets, Kindle, iPad(Black)",119.0,https://m.media-amazon.com/images/I/51u2MqPaQwL._AC_UL320_.jpg,https://www.amazon.in/Portronics-POR-122-MODESK-Universal-Mobile/dp/B07N8RQ6W7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-8,Office_products
"JK Copier Paper - A4, 75 GSM, 1 Ream, 500 Sheets","JK Copier Paper - A4, 75 GSM, 1 Ream, 500 Sheets",285.0,https://m.media-amazon.com/images/I/71kmALRtskL._AC_UL320_.jpg,https://www.amazon.in/JK-Copier-Paper-Sheets-Ream/dp/B00MVV81MK/ref=sr_1_9?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-9,Office_products
Godrej aer Spray | Room Freshener for Home & Office - Cool Aqua (220 ml) | Long-Lasting Fragrance,Godrej aer Spray | Room Freshener for Home & Office - Cool Aqua (220 ml) | Long-Lasting Fragrance,89.0,https://m.media-amazon.com/images/I/51TMeXXoY4L._AC_UL320_.jpg,https://www.amazon.in/Godrej-aer-Home-Freshener-Spray/dp/B00OHNGJ2Y/ref=sr_1_10?dib=eyJ2IjoiMSJ9.kOfhpc-XrxX5UZTqk53hDIpF6ntAZ5KQEzcDCEfEpF82HjbWgl8Djhhm1SIGxScpavSziV1HDM0pJmV_Lgo13wrY01v5efXPKpKZ-ffpHxqhWPDXp0c8OW3c1YqIQktWS33RozmxPtemwy1rAENQKtcmcj-d6w7aMBClJVHvOTZQJrGmx_JxMtFcT26aKkaQBBogG77vxUm34GDk1Jp8AwGofmIZZWw5M6kIqrNxZNJ07gW5H-mgkWi49HYLovYUIfbxO6TZNj5T9v9_kg7SMYEEH6-Zz4h5dPJ1jAO5W5w.twgCAcGGHZFLyM0ubsBGJjiU1Ojdm1ov3wdG1GEpKr0&dib_tag=se&keywords=Office+Products&qid=1761142874&sr=8-10,Office_products
