Title,Description,Price (INR),Image URL,Product Link,Category
"Depets Self Cleaning Slicker Brush, Pet Grooming Shedding Brush for Dogs and Cats - Easy to Remove Loose Undercoat, Pet Massaging Tool Suitable for Pets with Long or Short Hair Color May Vary","Depets Self Cleaning Slicker Brush, Pet Grooming Shedding Brush for Dogs and Cats - Easy to Remove Loose Undercoat, Pet Massaging Tool Suitable for Pets with Long or Short Hair Color May Vary",169.0,https://m.media-amazon.com/images/I/61qjyzM3+BL._AC_UL320_.jpg,https://www.amazon.in/Depets-Cleaning-Slicker-Grooming-Shedding/dp/B08FJ655HL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-1,Pet_supplies
"Meat Up Chicken Flavour Real Chicken Biscuit For All Life Stages Dog, 500g (Pack of 2)","Meat Up Chicken Flavour Real Chicken Biscuit For All Life Stages Dog, 500g (Pack of 2)",258.0,https://m.media-amazon.com/images/I/71qg9nW7CFL._AC_UL320_.jpg,https://www.amazon.in/Meatup-Chicken-Flavour-Biscuit-Treats/dp/B079T87VW1/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-2,Pet_supplies
"P for PET Grooming Wet Wipes 300 Count(Pack of 3) for Dogs, Cats & All Pets | Purified Water, Glycerin |Anti-Bacterial|Cleansing, Deodorising Wipes","P for PET Grooming Wet Wipes 300 Count(Pack of 3) for Dogs, Cats & All Pets | Purified Water, Glycerin |Anti-Bacterial|Cleansing, Deodorising Wipes",248.0,https://m.media-amazon.com/images/I/81xU7fjrNcL._AC_UL320_.jpg,https://www.amazon.in/PET-Grooming-Anti-Bacterial-Cleansing-Deodorising/dp/B0DBHWMFVW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-3,Pet_supplies
"Agirav Tails Best Pet Supplies Dog Poop Bags for Waste Refuse Cleanup, Doggy Roll Replacements for Outdoor Puppy Walking and Travel, Leak Proof and Tear Resistant, Thick Plastic 150 Bags (10 Units)","Agirav Tails Best Pet Supplies Dog Poop Bags for Waste Refuse Cleanup, Doggy Roll Replacements for Outdoor Puppy Walking and Travel, Leak Proof and Tear Resistant, Thick Plastic 150 Bags (10 Units)",179.0,https://m.media-amazon.com/images/I/71tGc53-NoL._AC_UL320_.jpg,https://www.amazon.in/Agirav-Supplies-Cleanup-Replacements-Resistant/dp/B0FGDBWVH4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-4,Pet_supplies
"AmazonBasics Pet Pee Pads for Potty Training| Standard | Regular 56 x 56cms | 50 Pieces | Leak-Proof Quick Dry Design, 5-Layer Design, for Small Dogs and Puppies (Standard, Regular Size, 50 Pads)","AmazonBasics Pet Pee Pads for Potty Training| Standard | Regular 56 x 56cms | 50 Pieces | Leak-Proof Quick Dry Design, 5-Layer Design, for Small Dogs and Puppies (Standard, Regular Size, 50 Pads)",479.0,https://m.media-amazon.com/images/I/71Co+yjlWAL._AC_UL320_.jpg,https://www.amazon.in/amazon-basics-Training-Leak-Proof-Quick-Dry/dp/B00MW8G3YU/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-5,Pet_supplies
Amazon Basics 2 in 1 Pet Feeder Food and Water Dispenser| 450 Ml Stainless Steel Bowl| Automatic Water Dispensing Mechanism| Suitable for Cats and Dogs| LxWxH - 32 Cm X 22 Cm X 16.5 Cm,Amazon Basics 2 in 1 Pet Feeder Food and Water Dispenser| 450 Ml Stainless Steel Bowl| Automatic Water Dispensing Mechanism| Suitable for Cats and Dogs| LxWxH - 32 Cm X 22 Cm X 16.5 Cm,329.0,https://m.media-amazon.com/images/I/51iD4gjpJaL._AC_UL320_.jpg,https://www.amazon.in/Dispenser-Stainless-Automatic-Dispensing-Mechanism/dp/B0CZKY77YP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-6,Pet_supplies
Himalaya Erina EP Shampoo for Dogs and Cats | Anti-Tick and Flea Formula | Neem & Eucalyptus Formula | Soothes Skin Irritation and Protects Skin Health | 200 ml,Himalaya Erina EP Shampoo for Dogs and Cats | Anti-Tick and Flea Formula | Neem & Eucalyptus Formula | Soothes Skin Irritation and Protects Skin Health | 200 ml,239.0,https://m.media-amazon.com/images/I/51UYPTXkUhL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Improves-Irritation-Eucalyptus-Effective/dp/B073RVF88P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-7,Pet_supplies
"Meat Up Adult Dry Dog Food, Chicken Flavour, 1.2 KG (Buy 1 Get 1 Free)","Meat Up Adult Dry Dog Food, Chicken Flavour, 1.2 KG (Buy 1 Get 1 Free)",383.0,https://m.media-amazon.com/images/I/71OPLFU+vGL._AC_UL320_.jpg,https://www.amazon.in/Meat-Up-Adult-Food-Free/dp/B075WXVYR4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-8,Pet_supplies
"Foodie Puppies Pet Hair Remover Lint Roller with Handle and 4 Refills (300 Sheets), Hair Remover for Dogs and Cats, Ideal for Clothes, Furniture, Coats, Car Seats, Carpets, Fabric, and Dust Cleaning","Foodie Puppies Pet Hair Remover Lint Roller with Handle and 4 Refills (300 Sheets), Hair Remover for Dogs and Cats, Ideal for Clothes, Furniture, Coats, Car Seats, Carpets, Fabric, and Dust Cleaning",249.0,https://m.media-amazon.com/images/I/81rIyUb9UAL._AC_UL320_.jpg,https://www.amazon.in/Foodie-Puppies-Lint-Roller-Furniture/dp/B0B6SQX234/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-9,Pet_supplies
Amazon Basics Folding Jaw Clamp Poop Scooper | Pet Waste Picker | Large,Amazon Basics Folding Jaw Clamp Poop Scooper | Pet Waste Picker | Large,279.0,https://m.media-amazon.com/images/I/71C2p39WasL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Basics-Folding-Clamp-Scooper/dp/B0CFDWSQ1N/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ak2iCE3Te7Z7NyZjzDwsdbNlbT9UHsGPVckCIgZf-6uS6M8tZ5HCbVxw_MW6t55O8on1W8vCFR5n_24lRItIXYvhGetH4ttDyPTs20D5J2gjnNFUhWOmlHFQEFUNRsklFB3HOoks0esiohe2Y0e-Lvix9nv0ENC-4NXvE7StiXWn-bwsw-vUJUemAvUdDXp6Xzpe4eEbNZvtW3FJapiTcjPa4Gy2zOWiZSmvlJfcLuXG67TPBuU29LCGyRq7gQ4ztz3eM3naeaKVzfbm-GggSh1g4jck8gcIHXwBBJWVIaw.sJrOtG_aVuDfxPJKgKtrqDtABUiqG-oKOy2pjgzkS6A&dib_tag=se&keywords=Pet+Supplies&qid=1761142785&sr=8-10,Pet_supplies
