Title,Description,Price (INR),Image URL,Product Link,Category
"Samsung 183 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20D2825HV/NL, Himalaya Poppy Blue, Base Stand Drawer)","Samsung 183 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20D2825HV/NL, Himalaya Poppy Blue, Base Stand Drawer)",16790.0,https://m.media-amazon.com/images/I/717WXktL2ML._AC_UY218_.jpg,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR20D2825HV-NL/dp/B0CPPJ1NW3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-1,Refrigerator
"Samsung 183 L, 4 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1824CR/HL, Red, Camellia Purple, Base Stand Drawer)","Samsung 183 L, 4 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1824CR/HL, Red, Camellia Purple, Base Stand Drawer)",15790.0,https://m.media-amazon.com/images/I/71bYFsyEFFL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Inverter-Refrigerator-RR20C1824CR-HL/dp/B0BR4176V7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-2,Refrigerator
"Samsung 183 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20D2825HN/NL, Himalaya Poppy Red, Base Stand Drawer)","Samsung 183 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20D2825HN/NL, Himalaya Poppy Red, Base Stand Drawer)",16790.0,https://m.media-amazon.com/images/I/71BFsHzDy+L._AC_UY218_.jpg,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR20D2825HN-NL/dp/B0CPPJ14XH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-3,Refrigerator
Whirlpool 235 L Frost Free Triple-Door Refrigerator (FP 253D PROTTON ROY RADIANT STEEL(Z) Double Door Refrigerator space),Whirlpool 235 L Frost Free Triple-Door Refrigerator (FP 253D PROTTON ROY RADIANT STEEL(Z) Double Door Refrigerator space),24990.0,https://m.media-amazon.com/images/I/61RBQL-aq4L._AC_UY218_.jpg,https://www.amazon.in/Whirlpool-253D-PROTTON-RADIANT-STEEL/dp/B0D222PDZ3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-4,Refrigerator
"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)","LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",24990.0,https://m.media-amazon.com/images/I/61+pdg8CfmL._AC_UY218_.jpg,https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GL-I292RPZX/dp/B08X72GY5Q/ref=sr_1_5?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-5,Refrigerator
"Samsung 236 L, 3 Star, Convertible, Digital Inverter with Display Frost Free Double Door Refrigerator (RT28C3733B1/HL, Black Matte/Black DOI)","Samsung 236 L, 3 Star, Convertible, Digital Inverter with Display Frost Free Double Door Refrigerator (RT28C3733B1/HL, Black Matte/Black DOI)",25990.0,https://m.media-amazon.com/images/I/61aQVw2a9YL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Convertible-Frost-Free-Refrigerator-RT28C3733B1/dp/B0C5M9W28S/ref=sr_1_6?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-6,Refrigerator
Whirlpool 235 L 2 Star Frost Free inverter Double Door Refrigerator (NEO DF278 PRM RADIANT STEEL(2S)-TL),Whirlpool 235 L 2 Star Frost Free inverter Double Door Refrigerator (NEO DF278 PRM RADIANT STEEL(2S)-TL),23200.0,https://m.media-amazon.com/images/I/51yxzxwn3LL._AC_UY218_.jpg,https://www.amazon.in/Whirlpool-NEO-DF278-RADIANT-STEEL/dp/B0D78KYB2P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-7,Refrigerator
Whirlpool 192 L 4 Star Icemagic Powercool Direct-Cool Single Door Refrigerator with Base Drawer (215 IMPC ROY 4S SAPPHIRE MULIA-Z),Whirlpool 192 L 4 Star Icemagic Powercool Direct-Cool Single Door Refrigerator with Base Drawer (215 IMPC ROY 4S SAPPHIRE MULIA-Z),15790.0,https://m.media-amazon.com/images/I/614yHfn4BPL._AC_UY218_.jpg,https://www.amazon.in/Whirlpool-Refrigerator-215-IMPC-ROY/dp/B0DV9BMGVN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-8,Refrigerator
"Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SAPPHIRE BLUE-Z, Blue,2023 Model)","Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SAPPHIRE BLUE-Z, Blue,2023 Model)",11790.0,https://m.media-amazon.com/images/I/51yVxCR8VfL._AC_UY218_.jpg,https://www.amazon.in/Whirlpool-Refrigerator-205-WDE-CLS/dp/B0BSRVL2VV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-9,Refrigerator
"Samsung 189 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR21D2H259U/HL, Paradise Bloom Blue, Base Stand Drawer)","Samsung 189 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR21D2H259U/HL, Paradise Bloom Blue, Base Stand Drawer)",17490.0,https://m.media-amazon.com/images/I/71LgmhjlviL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21D2H259U-HL/dp/B0CPPL3SCD/ref=sr_1_10?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-10,Refrigerator
"Haier 185L 2 Star Direct Cool Single Door Refrigerator | Toughened Glass Shelves | Large Veg Box | Fast Ice Making | Longer Cooling Retention | Easy Clean Back (HED-19TMS-N, Moon Silver)","Haier 185L 2 Star Direct Cool Single Door Refrigerator | Toughened Glass Shelves | Large Veg Box | Fast Ice Making | Longer Cooling Retention | Easy Clean Back (HED-19TMS-N, Moon Silver)",,https://m.media-amazon.com/images/I/61A7ekxA7aL._AC_UY218_.jpg,https://www.amazon.in/Haier-Direct-Cool-Single-Refrigerator-HED-19TMS-N/dp/B0CW5WNPTM/ref=sr_1_11?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-11,Refrigerator
"IFB Smart Choice 197L 5 Star Direct-Cool Single Door Refrigerator with Advanced Inverter Compressor (IFBDC-2235DBMED,Mystic Bloosom Blue) Extraordinary Storage with Humidity Controller","IFB Smart Choice 197L 5 Star Direct-Cool Single Door Refrigerator with Advanced Inverter Compressor (IFBDC-2235DBMED,Mystic Bloosom Blue) Extraordinary Storage with Humidity Controller",17490.0,https://m.media-amazon.com/images/I/618cqKBFZNL._AC_UY218_.jpg,https://www.amazon.in/IFB-Direct-Cool-Refrigerator-IFBDC-2235DBMED-Extraordinary/dp/B0DFC6N1CS/ref=sr_1_12?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-12,Refrigerator
"Haier 190L 4 Star Direct Cool Single Door Refrigerator | 3 Toughened Glass Shelves | Fast Ice Making in Just 60 minutes | Large Veg Box| Easy Clean Back (HED-204DS-P, Dazzle Steel)","Haier 190L 4 Star Direct Cool Single Door Refrigerator | 3 Toughened Glass Shelves | Fast Ice Making in Just 60 minutes | Large Veg Box| Easy Clean Back (HED-204DS-P, Dazzle Steel)",13990.0,https://m.media-amazon.com/images/I/61TUJWqHJJL._AC_UY218_.jpg,https://www.amazon.in/Haier-Direct-Single-Refrigerator-HED-204DS-P/dp/B0BTHLMS39/ref=sr_1_13?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-13,Refrigerator
"Godrej 180L 2Star Advanced Capillary Technology | Jumbo Vegetable Tray | Wired Shelves | 2.25L Bottle Space | Wide Shelf Space | Direct Cool Single Door Refrigerator (RD EDGE 205B WRF PP BL, Pep Blue)","Godrej 180L 2Star Advanced Capillary Technology | Jumbo Vegetable Tray | Wired Shelves | 2.25L Bottle Space | Wide Shelf Space | Direct Cool Single Door Refrigerator (RD EDGE 205B WRF PP BL, Pep Blue)",11790.0,https://m.media-amazon.com/images/I/61zbZoI5MxL._AC_UY218_.jpg,https://www.amazon.in/Godrej-Refrigerator-EDGE-205B-WRF/dp/B0BS6XQVD1/ref=sr_1_14?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-14,Refrigerator
"Haier 240L 2 Star Frost Free Top Mount Double Door Refrigerator|Cool Pad|200% Faster Ice Making in 49 Minutes (HEF-252EGS-P, Moon Silver)","Haier 240L 2 Star Frost Free Top Mount Double Door Refrigerator|Cool Pad|200% Faster Ice Making in 49 Minutes (HEF-252EGS-P, Moon Silver)",19990.0,https://m.media-amazon.com/images/I/61oinNdgo9L._AC_UY218_.jpg,https://www.amazon.in/Haier-Double-Refrigerator-HEF-252EGS-P-Silver/dp/B0BTHLGVQ6/ref=sr_1_15?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-15,Refrigerator
"Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SHERRY WINE-Z, Red)","Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SHERRY WINE-Z, Red)",,https://m.media-amazon.com/images/I/51nPYp5y5cL._AC_UY218_.jpg,https://www.amazon.in/Whirlpool-Refrigerator-205-WDE-CLS/dp/B0BSRW3N14/ref=sr_1_16?dib=eyJ2IjoiMSJ9.szmJztqjTLSF5QCyVOeK8i52Pj-bNxbsrXeFlKcuEtfJTFGb93jvBBbJD0pKIWbkkQ79ypFlIUu8S3NdDGYKh_fUAffFlJvK33TwIbTXh7GostVehiqySumrpwxYaPCrF5F_YJjOKWTOOBlZrBbF6gQmpkNmvHWCpTG6pYMugy83V861c_fo5weOfosjKz17UwFBKLVhJd_52IEg12S9wBleQ8AAXUA3O62d-B9e30M.uv2k2FM3SDyd1_K8OLEHF3IFj1GfnjQaX4bJcqJJsgc&dib_tag=se&keywords=Refrigerator&qid=1761141748&sr=8-16,Refrigerator
"Haier 325 L 3 Star Frost Free Bottom Mount Double Door Refrigerator|Convertible 14-in-1|Jhukna Mat-Bottom Freezer|Digital Display Panel|Triple Inverter|Twist Ice Maker (HEB-333GB-P, Graphite Black)","Haier 325 L 3 Star Frost Free Bottom Mount Double Door Refrigerator|Convertible 14-in-1|Jhukna Mat-Bottom Freezer|Digital Display Panel|Triple Inverter|Twist Ice Maker (HEB-333GB-P, Graphite Black)",36490.0,https://m.media-amazon.com/images/I/61P9Zp9eG3L._AC_UY218_.jpg,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HRD-1954CRB-Blossom/dp/B085ZP2M9Q/ref=sr_1_17?dib=eyJ2IjoiMSJ9.kK6MNPjLOereTSGNBY-IgGDVkWDUK8B9h8z_Pj-4TTDH10Rz1eI62R8a9bChPmyQKmIDw6yLiRIVWDqjr0fbzg.A2rQNMoZ1ov59v17mVNq58I0chAHcGzboCcK1ptWwpQ&dib_tag=se&keywords=Refrigerator&qid=1761141753&sr=8-17&xpid=pkhYlj6_an9tp,Refrigerator
"Samsung 236 L, 3 Star, Digital Inverter, Frost Free Double Door Refrigerator (RT28C3053S8/HL, Silver, Elegant Inox)","Samsung 236 L, 3 Star, Digital Inverter, Frost Free Double Door Refrigerator (RT28C3053S8/HL, Silver, Elegant Inox)",23990.0,https://m.media-amazon.com/images/I/61O92QaInUL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Inverter-Refrigerator-RT28C3053S8-HL/dp/B0C2TNR2X2/ref=sr_1_18?dib=eyJ2IjoiMSJ9.kK6MNPjLOereTSGNBY-IgGDVkWDUK8B9h8z_Pj-4TTDH10Rz1eI62R8a9bChPmyQKmIDw6yLiRIVWDqjr0fbzg.A2rQNMoZ1ov59v17mVNq58I0chAHcGzboCcK1ptWwpQ&dib_tag=se&keywords=Refrigerator&qid=1761141753&sr=8-18&xpid=pkhYlj6_an9tp,Refrigerator
"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)","LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",72990.0,https://m.media-amazon.com/images/I/61bg7ue2QwL._AC_UY218_.jpg,https://www.amazon.in/LG-Frost-Free-Inverter-Refrigerator-GL-B257HDSY/dp/B0BX4FBVQB/ref=sr_1_19?dib=eyJ2IjoiMSJ9.kK6MNPjLOereTSGNBY-IgGDVkWDUK8B9h8z_Pj-4TTDH10Rz1eI62R8a9bChPmyQKmIDw6yLiRIVWDqjr0fbzg.A2rQNMoZ1ov59v17mVNq58I0chAHcGzboCcK1ptWwpQ&dib_tag=se&keywords=Refrigerator&qid=1761141753&sr=8-19&xpid=pkhYlj6_an9tp,Refrigerator
"Haier 190L 5 Star Direct Cool Single Door Refrigerator | 3 Toughened Glass Shelves | Fast Ice Making in Just 60 minutes | Large Veg Box| Easy Clean Back (HED-205MFB-P, Marine Peony, Base Stand)","Haier 190L 5 Star Direct Cool Single Door Refrigerator | 3 Toughened Glass Shelves | Fast Ice Making in Just 60 minutes | Large Veg Box| Easy Clean Back (HED-205MFB-P, Marine Peony, Base Stand)",15790.0,https://m.media-amazon.com/images/I/61u-Cf6rwYL._AC_UY218_.jpg,https://www.amazon.in/Haier-Direct-Single-Refrigerator-HED-205MFB-P/dp/B0BTHLGZ1Q/ref=sr_1_20?dib=eyJ2IjoiMSJ9.kK6MNPjLOereTSGNBY-IgGDVkWDUK8B9h8z_Pj-4TTDH10Rz1eI62R8a9bChPmyQKmIDw6yLiRIVWDqjr0fbzg.A2rQNMoZ1ov59v17mVNq58I0chAHcGzboCcK1ptWwpQ&dib_tag=se&keywords=Refrigerator&qid=1761141753&sr=8-20&xpid=pkhYlj6_an9tp,Refrigerator
