Title,Description,Price (INR),Image URL,Product Link,Category
Boldfit,Boldfit,199.0,https://m.media-amazon.com/images/I/71UlEDZPiCL._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Organizer-Accessories-Travelling-Essentials/dp/B0BK1457X3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-1,Shoes
BRUTON,BRUTON,231.0,https://m.media-amazon.com/images/I/61gKatv2y7L._AC_UL320_.jpg,https://www.amazon.in/BRUTON-Exclusive-Trendy-Shoes-Numeric_10/dp/B0BKL21P4L/ref=sr_1_2?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-2,Shoes
ASIAN,ASIAN,799.0,https://m.media-amazon.com/images/I/81R6YbNKOzL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-MEXICO-11-Synthetic-Lightweight-Comfortable/dp/B0DBD365C4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-3,Shoes
ASIAN,ASIAN,599.0,https://m.media-amazon.com/images/I/61utX8kBDlL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Wonder-13-Sports-Running-Shoes/dp/B01N54ZM9W/ref=sr_1_4?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-4,Shoes
Campus,Campus,1199.0,https://m.media-amazon.com/images/I/71RiFU3KvLL._AC_UL320_.jpg,https://www.amazon.in/Campus-First-L-Gry-Running-Shoes/dp/B08WPJSXQ6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-5,Shoes
Bata,Bata,749.0,https://m.media-amazon.com/images/I/71rYxtbE8SS._AC_UL320_.jpg,https://www.amazon.in/Bata-Mens-Lace-up-Formal-Shoes/dp/B096BGXWKT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-6,Shoes
Bata,Bata,599.0,https://m.media-amazon.com/images/I/510FlWuxZJL._AC_UL320_.jpg,https://www.amazon.in/Bata-Slipon-Walking-Shoes-Size/dp/B0B6G7N8R5/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-7,Shoes
Campus,Campus,799.0,https://m.media-amazon.com/images/I/7198NljaZlL._AC_UL320_.jpg,https://www.amazon.in/Campus-OXYFIT-Walking-Shoes-10-UK/dp/B09RPDCKZC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-8,Shoes
Centrino,Centrino,799.0,https://m.media-amazon.com/images/I/71I8S-yPG+L._AC_UL320_.jpg,https://www.amazon.in/Centrino-Casual-Moccasin-Shoes-Brown/dp/B08NZDDN6M/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-9,Shoes
Nike,Nike,3317.0,https://m.media-amazon.com/images/I/61uCW4njn-L._AC_UL320_.jpg,https://www.amazon.in/Nike-Mens-Downshifter-Running-Shoes/dp/B0DPHXLYVL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8Rx7paXYZqhNkngE-8J5MW9BL1abySyq7vX-2KVkDunuzLbMiw9hm6P-_6iHjREoZi3xDujrPLiHcacwgucQ3-XG7hbiT1FyyegbmJDD600735njXksicqV_dht7MrfhaRTy47B0CMarPp6ovtpJJyNih1Z8amu-EzPTj5sS4rYyk_z_2iQ1TFW9yXy4asnGVnAv3utT5yTK8j4QLC1SPjMU48aEO0S-QPGfHb5mu1mTMeA0X8Osx40eh7HwhVT5DWFMWRmMdw374_1adudiHwWkYtuvLErp7qWrv3lSu-o.SuKmpEQn9jZaH6ZR7dLaROlaymH-3p6rD9ennudEBDQ&dib_tag=se&keywords=Shoes&qid=1761142418&sr=8-10,Shoes
