Title,Description,Price (INR),Image URL,Product Link,Category
"ZSIGNS 46Pcs 1/4 Inch Drive Box End Socket Set,Metric Ratchet Wrench Set With 4-14Mm Cr-V Sockets,S2 Bits,Extension Bars,Mechanic Tool Kits For Household Auto Repair (Black), Chrome Vanadium Steel","ZSIGNS 46Pcs 1/4 Inch Drive Box End Socket Set,Metric Ratchet Wrench Set With 4-14Mm Cr-V Sockets,S2 Bits,Extension Bars,Mechanic Tool Kits For Household Auto Repair (Black), Chrome Vanadium Steel",587.0,https://m.media-amazon.com/images/I/819JarJTSFL._AC_UL320_.jpg,https://www.amazon.in/ZSIGNS-Ratchet-Extension-Mechanic-Household/dp/B0BC1PMRHR/ref=sr_1_1?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-1,Tools_&_home_improvement
OPTIFINE Tool Kit 46 Tool Kit Tool Kit for Home Use Tools Kit Spanner Set Socket Set Wrench Set Tools Set Hand Tools Bike Tool Kit Set Socket Wrench Set Spanner Set All Size Tool Kit Goti Pana Set - Box End (41 IN 1),OPTIFINE Tool Kit 46 Tool Kit Tool Kit for Home Use Tools Kit Spanner Set Socket Set Wrench Set Tools Set Hand Tools Bike Tool Kit Set Socket Wrench Set Spanner Set All Size Tool Kit Goti Pana Set - Box End (41 IN 1),399.0,https://m.media-amazon.com/images/I/51LJ2IAVh0L._AC_UL320_.jpg,https://www.amazon.in/OPTIFINE-Tools-Spanner-Socket-Wrench/dp/B0DZT4L9ZL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-2,Tools_&_home_improvement
"STANLEY 70-964E 12-Piece Combination Spanner Set With Maxi-Drive System, 6mm to 22mm, Chrome-Vanadium Steel, Anti-Slip Design on Open End, Anti-Rust, Matt Finish, Silver","STANLEY 70-964E 12-Piece Combination Spanner Set With Maxi-Drive System, 6mm to 22mm, Chrome-Vanadium Steel, Anti-Slip Design on Open End, Anti-Rust, Matt Finish, Silver",541.0,https://m.media-amazon.com/images/I/61TdBdUPpqL._AC_UL320_.jpg,https://www.amazon.in/Stanley-70-964E-Combination-Spanner-12-Pieces/dp/B00ICIKIW2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-3,Tools_&_home_improvement
"FREEMANS WBJ10 10""/250mm Box Joint Alloy Steel Water Pump Plier || Drop forged With Epoxy Dip Sleeve || Induction Hardened Jaws || Drop Forged - Red & Blue","FREEMANS WBJ10 10""/250mm Box Joint Alloy Steel Water Pump Plier || Drop forged With Epoxy Dip Sleeve || Induction Hardened Jaws || Drop Forged - Red & Blue",155.0,https://m.media-amazon.com/images/I/51OEfuOByOL._AC_UL320_.jpg,https://www.amazon.in/Freemans-WBJ10-Joint-Water-Plier/dp/B01E3V3RNI/ref=sr_1_4?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-4,Tools_&_home_improvement
"STANLEY 1-71-948 13'' Organized Maestro Heavy-Duty Portable Plastic Essential Toolbox With Clear Top Lid & Removable Tray Compartment For Easy & Convenient Storage,1 Year Warranty,YELLOW,32x13.5x15 cm","STANLEY 1-71-948 13'' Organized Maestro Heavy-Duty Portable Plastic Essential Toolbox With Clear Top Lid & Removable Tray Compartment For Easy & Convenient Storage,1 Year Warranty,YELLOW,32x13.5x15 cm",332.0,https://m.media-amazon.com/images/I/6175DoQd18L._AC_UL320_.jpg,https://www.amazon.in/STANLEY-1-71-948-Organised-Maestro-Clear/dp/B084ZGJ8H5/ref=sr_1_5?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-5,Tools_&_home_improvement
"STANLEY 70-482 8'' Sturdy Steel Combination Plier Double Color Sleeve, Anti-Rust, Black Phosphate Finish, Material: C45, Full Body Hardened, Used for Gripping, Twisting, Bending and Wire Cutting","STANLEY 70-482 8'' Sturdy Steel Combination Plier Double Color Sleeve, Anti-Rust, Black Phosphate Finish, Material: C45, Full Body Hardened, Used for Gripping, Twisting, Bending and Wire Cutting",258.0,https://m.media-amazon.com/images/I/61vo4RdhZSL._AC_UL320_.jpg,https://www.amazon.in/Stanley-70-482-Sturdy-Combination-8-Inch/dp/B00N0QCASQ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-6,Tools_&_home_improvement
"BLACK+DECKER BMT126C Hand Tool Kit for Home & DIY Use (126-Piece) - Includes Screwdriver, Wrench, Ratchet, Utility Knife, Saw, Claw Hammer, Measuring Tape and Plier, 6 Month Warranty, ORANGE & BLACK","BLACK+DECKER BMT126C Hand Tool Kit for Home & DIY Use (126-Piece) - Includes Screwdriver, Wrench, Ratchet, Utility Knife, Saw, Claw Hammer, Measuring Tape and Plier, 6 Month Warranty, ORANGE & BLACK",1499.0,https://m.media-amazon.com/images/I/81fs5ZSexsL._AC_UL320_.jpg,https://www.amazon.in/BLACK-DECKER-BMT126C-126-Pieces-Orange/dp/B0744NSM3N/ref=sr_1_7?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-7,Tools_&_home_improvement
"RAMEX Allen Key Set, Allen Key Set Tools Kit, 9pc Hex Allen Key Set In Plastic Box Packet Size Allen Key Set Allen Keys","RAMEX Allen Key Set, Allen Key Set Tools Kit, 9pc Hex Allen Key Set In Plastic Box Packet Size Allen Key Set Allen Keys",125.0,https://m.media-amazon.com/images/I/71aBHurthsL._AC_UL320_.jpg,https://www.amazon.in/RAMEX-Allen-Tools-Plastic-Packet/dp/B0B65H8SRF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-8,Tools_&_home_improvement
"SPARTAN BS-02 8-in-1 Pc Screw Driver Kit With 3 Flat Blades, 3 Phillips Head, 1 Round Poker Bar, Extension Rod| Multi-purpose Tool Set Screwdriver Set (Multicolor)","SPARTAN BS-02 8-in-1 Pc Screw Driver Kit With 3 Flat Blades, 3 Phillips Head, 1 Round Poker Bar, Extension Rod| Multi-purpose Tool Set Screwdriver Set (Multicolor)",219.0,https://m.media-amazon.com/images/I/811LMdtseGL._AC_UL320_.jpg,https://www.amazon.in/Screwdriver-Electrical-Multipurpose-Application-Multicolor/dp/B0756N9LQ7/ref=sr_1_9?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-9,Tools_&_home_improvement
"Taparia DEP 06 Double Ended Spanner Set (DEP-06), Open End, ‎2.8 x 5.1 x 15.8 cm","Taparia DEP 06 Double Ended Spanner Set (DEP-06), Open End, ‎2.8 x 5.1 x 15.8 cm",195.0,https://m.media-amazon.com/images/I/718K8eRfAEL._AC_UL320_.jpg,https://www.amazon.in/Taparia-DEP-Double-Ended-Spanner/dp/B00LGE0XZG/ref=sr_1_10?dib=eyJ2IjoiMSJ9.e0NRGip5dTZn7qud5hxE0GJKm5A1SsOi4FcNPB0lTubrhwBqNZyYRBcvlpcTZssHXmohUfvwqE9SiyYAWtXdW2aunKSDEv7mRkusj-sks04xSao66znkbTLvKh59WuZzv1lMpjLprcCFrttexlMFNJqH5DUKlk9yyutlyLfue41h9r6b01PKk_fr20qlLLcjwkIJ9Wm3jgayRTvWdFBjRXzl2dtbPHpT31i3siGEzz6os0ILnxkCpgpIVmMHnm4_aRwr7_btyA3BTxdr9DWoz89dlScVbsOJNUaDwLRS-3g.MbqedyIXRRqR9kZ-VE4C5F7P8iXYx0timSxPLokaF9k&dib_tag=se&keywords=Tools&qid=1761143087&sr=8-10,Tools_&_home_improvement
